Feature,Importance
statuses_count,0.19159376622276983
favourites_statuses_ratio,0.1698593084101093
statuses_followers_ratio,0.09324528117188496
favourites_count,0.08994930491960593
friends_count,0.06669490588470772
followers_friends_ratio,0.06425028838921967
followers_count,0.06235318783296336
listed_count,0.061193626167756525
description_length,0.05560538254447809
fullname_length,0.0424964065988497
username_length,0.03731707134313792
fullname_word_count,0.017933830341464823
username_digit_ratio,0.015154709819699816
username_digit_count,0.011437411366164765
verified,0.007893222209452011
default_profile,0.007585842779599875
name_equals_username,0.0052611062454482145
default_profile_image,0.00017534775268762304
protected,0.0
